domain,registration,renewal,icann_fee,transfer,average,length,cost_score,domains,share
.world,14.65,234.48,1.42,234.48,124.565,5,622.825,792413,0.0983%
.today,14.65,161.2,1.42,161.2,87.925,5,439.625,827082,0.1026%
.archi,91.61,586.2,1.42,586.2,338.905,5,1694.525,7337,0.0009%
.cloud,23.29,146.55,1.42,146.55,84.92,5,424.6,1002795,0.1244%
.rodeo,58.62,58.62,1.42,58.62,58.62,5,293.1,6049,0.0008%
.rehab,205.17,205.17,1.42,205.17,205.17,5,1025.85,5628,0.0007%
.lease,315.12,315.12,1.42,315.12,315.12,5,1575.6,5498,0.0007%
.gifts,205.17,205.17,1.42,205.17,205.17,5,1025.85,14016,0.0017%
.bingo,300.46,300.46,1.42,300.46,300.46,5,1502.3,5312,0.0007%
.photo,183.22,183.22,1.42,183.22,183.22,5,916.1,55253,0.0069%
.click,7.36,73.27,1.42,73.27,40.315,5,201.575,1833208,0.2273%
.store,6.93,292.25,1.42,292.25,149.59,5,747.95,3230225,0.4006%
.vodka,175.86,175.86,1.42,175.86,175.86,5,879.3,4322,0.0005%
.house,80.63,249.13,1.42,249.13,164.88,5,824.4,54977,0.0068%
.nexus,73.06,73.06,1.42,73.06,73.06,5,365.3,3909,0.0005%
.cards,219.82,219.82,1.42,219.82,219.82,5,1099.1,22863,0.0028%
.reise,549.6,549.6,1.42,549.6,549.6,5,2748,3527,0.0004%
.parts,58.62,234.48,1.42,234.48,146.55,5,732.75,13872,0.0017%
.ninja,40.28,175.86,1.42,175.86,108.07,5,540.35,69659,0.0086%
.tours,36.67,351.72,1.42,351.72,194.195,5,970.975,31126,0.0039%
.tires,511.44,511.44,1.42,511.44,511.44,5,2557.2,2964,0.0004%
.quest,7.36,88.64,1.42,88.64,48,5,240,83487,0.0104%
.homes,7.36,88.64,1.42,88.64,48,5,240,134609,0.0167%
.forex,73.27,586.2,1.42,579.27,329.735,5,1648.675,2380,0.0003%
.adult,73.27,696.15,1.42,696.15,384.71,5,1923.55,13818,0.0017%
.gripe,36.67,36.67,1.42,36.67,36.67,5,183.35,2346,0.0003%
.gives,43.96,157.1,1.42,157.1,100.53,5,502.65,13970,0.0017%
.media,36.67,256.5,1.42,256.5,146.585,5,732.925,160117,0.0199%
.wales,70.79,70.79,1.42,70.79,70.79,5,353.95,27265,0.0034%
.party,29.16,36.46,1.42,36.46,32.81,5,164.05,188143,0.0233%
.cheap,36.67,205.17,1.42,205.17,120.92,5,604.6,15177,0.0019%
.tools,65.98,205.17,1.42,205.17,135.575,5,677.875,47240,0.0059%
.poker,29.31,381.03,1.42,381.03,205.17,5,1025.85,16991,0.0021%
.deals,219.82,219.82,1.42,219.82,219.82,5,1099.1,23676,0.0029%
.rocks,47.64,124.6,1.42,124.6,86.12,5,430.6,214420,0.0266%
.audio,659.48,730.63,1.42,730.63,695.055,5,3475.275,11439,0.0014%
.money,54.94,197.88,1.42,197.88,126.41,5,632.05,46304,0.0057%
